insee;nom;nb_voisins;insee_voisins
22332;Saint-Trimoël;7;22093|22093|22165|22296|22345|22015|22098
22333;Saint-Vran;6;22046|22148|22147|22122|22046|22046
22334;Saint-Igeaux;6;22029|22244|22107|22107|22331|22321
22335;Senven-Léhart;4;22289|22291|22284|22189
22337;Sévignac;11;22145|22369|22020|22240|22114|22053|22267|22185|22084|22084|22084
22338;Squiffiec;6;22283|22248|22358|22091|22095|22212
22339;Taden;13;22190|22213|22327|22385|22299|22118|22050|22050|22259|22048|22105|22190|22190
22340;Tonquédec;5;22030|22034|22245|22211|22113
22341;Tramain;4;22084|22084|22185|22193
22342;Trébédan;6;22388|22364|22021|22391|22104|22097
22343;Trébeurden;2;22198|22113
22344;Trébrivan;5;22128|22137|22157|22351|22031
22345;Trébry;7;22332|22296|22046|22046|22046|22346|22015
22346;Trédaniel;7;22015|22345|22046|22046|22184|22153|22079
22347;Trédarzec;5;22085|22199|22264|22264|22264
22348;Trédias;5;22104|22391|22020|22369|22145
22349;Trédrez-Locquémeau;2;22226|22319
22350;Tréduder;5;22319|22235|22119|22238|22194
22351;Treffrin;5;22344|22157|29024|29205|22031
22352;Tréfumel;4;22263|22208|22312|22308
22353;Trégastel;2;22168|22198
22354;Tréglamus;5;22223|22156|22072|22135|22164
22356;Trégomeur;5;22251|22251|22251|22182|22117
22209;Trégon;3;22209|22049|22302
22358;Trégonneau;5;22248|22161|22223|22091|22338
22359;Trégrom;5;22245|22135|22005|22228|22387
22360;Trégueux;5;22106|22389|22176|22215|22278
22361;Tréguidel;4;22117|22182|22375|22177
22362;Tréguier;1;22152
22363;Trélévern;4;22379|22028|22090|22134
22364;Trélivan;9;22259|22050|22050|22280|22008|22021|22342|22388|22003
22365;Trémargat;5;22115|22229|22087|22320|22169
22366;Trémel;7;22238|22227|29183|29199|29199|29182|22194
22251;Tréméloir;4;22251|22372|22182|22356
22368;Tréméreuc;5;35228|22190|22190|22209|22209
22369;Trémeur;4;22145|22348|22020|22337
22370;Tréméven;7;22178|22236|22112|22063|22378|22057|22108
22371;Trémorel;6;22114|22240|22133|22083|22147|22309
22372;Trémuson;8;22251|22251|22187|22215|22144|22188|22182|22251
22373;Tréogan;5;22202|56100|56066|29250|29152
22375;Tressignaux;6;22177|22361|22182|22019|22065|22121
22376;Trévé;5;22068|22155|22136|22279|22330
22377;Tréveneuc;3;22325|22232|22222
22378;Trévérec;4;22370|22063|22293|22057
22379;Trévou-Tréguignec;3;22166|22028|22363
22380;Trévron;7;22280|22026|22308|22239|22021|22082|22008
22381;Trézény;4;22042|22110|22265|22090
22190;Trigavou;5;22190|22339|22105|22209|22209
22383;Troguéry;4;22264|22264|22264|22264
22384;Uzel;6;22203|22203|22300|22330|22149|22001
22385;La Vicomté-sur-Rance;5;22197|22299|22118|22339|22327
22386;Le Vieux-Bourg;8;22126|22059|22276|22074|22029|22294|22284|22291
22387;Le Vieux-Marché;5;22245|22359|22228|22207|22211
22388;Vildé-Guingalan;6;22003|22364|22342|22097|22315|22048
22389;Yffiniac;6;22081|22246|22258|22176|22360|22106
22390;Yvias;6;22086|22214|22178|22108|22256|22233
22391;Yvignac-la-Tour;7;22342|22021|22239|22032|22020|22348|22104
29001;Argol;5;29289|29256|29280|29042|29104
29002;Arzano;7;29071|56166|56040|56179|29234|29297|29136
29003;Audierne;1;29003
29003;Audierne;4;29008|29218|29228|29063
29004;Bannalec;7;29269|29147|29300|29236|29217|29241|29274
29005;Baye;4;29147|29233|29150|29236
29006;Bénodet;3;29161|29058|29032
29007;Berrien;7;29275|29227|29227|29081|29054|29202|29034
29008;Beuzec-Cap-Sizun;6;29226|29145|29218|29003|29003|29063
29010;Bodilis;7;29193|29105|29128|29180|29237|29264|29187
29011;Bohars;4;29019|29069|29076|29076
29012;Bolazec;6;22217|22132|22231|22031|29275|29014
29013;Botmeur;6;29054|29018|29016|29261|29277|29038
29014;Botsorhel;9;29183|29067|22217|29012|29275|29114|29199|29199|29199
29015;Bourg-Blanc;7;29209|29160|29061|29019|29076|29076|29035
29016;Brasparts;7;29013|29018|29141|29115|29162|29139|29261
29017;Brélès;4;29208|29119|29177|29112
29018;Brennilis;6;29081|29211|29141|29016|29013|29054
29019;Brest;8;29015|29061|29075|29212|29069|29076|29076|29011
29020;Briec;9;29062|29048|29110|29107|29051|29232|29106|29025|29142
29021;Brignogan-Plages;2;29021|29091
29021;Plounéour-Brignogan-Plages;3;29064|29198|29091
29022;Camaret-sur-Mer;1;29042
29023;Carantec;2;29279|29079
29024;Carhaix-Plouguer;8;22351|22157|22202|29152|29250|29029|29089|29205
29025;Cast;9;29026|29243|29142|29020|29106|29229|29176|29166|29172
29026;Châteaulin;8;29162|29142|29243|29025|29172|29044|29222|29263
29027;Châteauneuf-du-Faou;6;29278|29249|29122|29267|29123|29175
29028;Cléden-Cap-Sizun;3;29063|29228|29168
29029;Cléden-Poher;5;29089|29024|29250|29278|29102
29030;Cléder;5;29276|29285|29271|29206|29185
29031;Clohars-Carnoët;3;29233|56078|29150
29032;Clohars-Fouesnant;3;29161|29006|29060
29033;Le Cloître-Pleyben;4;29175|29123|29162|29115
29034;Le Cloître-Saint-Thégonnec;6;29191|29275|29007|29202|29163|29207
29035;Coat-Méal;7;29209|29015|29076|29076|29076|29196|29290
29036;Collorec;3;29211|29102|29175
