INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy
35092;2021;12;0;138816.666666667;1360.16666666667;100
35093;2018;161;191;285987.5;3905.08;74.36648
35093;2019;165;228;286954.918575064;4111.12977099237;69.0483460559796
35093;2020;138;181;341263.9;4593.038;74.5047
35093;2021;170;207;389016.75066313;5065.60212201592;77.0291777188329
35094;2018;23;0;153372.2;1554.739;96.04348
35094;2019;17;0;120406.235294118;1302.35294117647;92.7058823529412
35094;2020;26;0;175992.3;1605.423;113.5
35094;2021;24;2;173860.384615385;1813.07692307692;93.5769230769231
35095;2018;60;38;128676.1;1653.163;79.97959
35095;2019;68;41;155685.311926606;1889.67889908257;90.4311926605505
35095;2020;66;40;149394.8;1838.679;82.48113
35095;2021;74;46;183126.558333333;2203.525;84.1583333333333
35096;2018;28;4;160461.8;1676.562;99.1875
35096;2019;30;6;174531.944444444;1631.97222222222;110.75
35096;2020;18;15;162019.6;1991.455;87.81818
35096;2021;24;10;172837.323529412;2134.5;85.0588235294118
35097;2018;30;0;128060;1406.033;87.16667
35097;2019;23;0;153995.652173913;1477.4347826087;111.826086956522
35097;2020;25;0;154385.6;1475.96;105.92
35097;2021;20;0;175825;1680.4;107.25
35098;2018;16;0;134564.7;1306.875;101.0625
35098;2019;18;0;102501.722222222;1068.61111111111;96.1111111111111
35098;2020;9;0;148211.1;1349.556;108.3333
35098;2021;19;0;141694.736842105;1760.05263157895;82.5789473684211
35099;2018;46;10;213365.3;2065.786;104.2679
35099;2019;31;10;225261.804878049;2310.07317073171;97.5609756097561
35099;2020;34;8;228188.5;2348.143;97.83333
35099;2021;49;10;259778.983050847;2466.81355932203;105.186440677966
35101;2018;13;0;139241.8;1686.385;85.84615
35101;2019;11;0;165651.272727273;1586.09090909091;111
35101;2020;12;0;178620.8;1651.167;112
35101;2021;21;0;208133.80952381;1960.52380952381;106.952380952381
35102;2018;3;0;105000;1022;95.66667
35102;2019;6;0;119633.333333333;1282.33333333333;93.1666666666667
35102;2020;6;0;93833.33;1224.667;85.5
35102;2021;4;0;140622.5;1495.5;93.25
35103;2018;6;0;74916.67;828.1667;92.66667
35103;2019;2;0;118000;737.5;156.5
35103;2020;7;0;134457.1;1153.571;116.5714
35103;2021;13;0;121769.230769231;1259;97.2307692307692
35104;2018;16;0;125106.2;1401.312;92.8125
35104;2019;21;0;142573.80952381;1731.71428571429;84.2380952380952
35104;2020;17;0;162114.1;1532.588;100.7647
35104;2021;19;0;155045;1459.42105263158;105.421052631579
35105;2018;15;0;135926.4;1431.4;99.86667
35105;2019;11;0;161027.272727273;1572.81818181818;103.363636363636
35105;2020;16;0;188209.8;1721.875;115.0625
35105;2021;22;0;168236.5;1652;111.045454545455
35106;2018;13;0;98846.15;1061.077;90.30769
35106;2019;22;1;130640;1308.04347826087;102
35106;2020;34;0;141173.8;1334.941;102.4118
35106;2021;27;0;133031.481481481;1299.37037037037;104.592592592593
35107;2018;23;1;194841.7;1832.083;108.9167
35107;2019;22;0;200665.227272727;1718.04545454545;116.181818181818
35107;2020;17;0;189808.6;2065.412;91.70588
35107;2021;24;1;239455.2;2174.12;114.64
35108;2018;7;0;193697.6;1730.286;116.1429
35108;2019;6;0;122000;1721.66666666667;80
35108;2020;13;0;173930.8;1907.846;95
35108;2021;17;1;173480.555555556;1910;101.611111111111
